subject,body,queue,sector,specific_sector,priority,priority_level,language,dataset_source
dringendes problem: asana-integration funktioniert nicht,"liebes support-team, wir haben eine große störung mit der asana-integration in skillwave, die dazu führt, dass die etl-pipelines ausfallen und die echtzeit-dashboards zur analyse der kompetenzlücken nicht aktualisiert werden. wir benötigen sofortige hilfe, um dieses problem zu beheben.",data analytics & reporting,data analytics & reporting,nan,high,4,german,german
dringende unterstützung erforderlich,"liebes support-team, ich melde eine schwerwiegende sicherheitslücke in windows 10, die patientendaten offenlegt. unbefugter zugriff wurde festgestellt, was ein risiko für die einhaltung der dsgvo darstellt. sofortige hilfe ist erforderlich, um dieses sicherheitsproblem zu beheben.",legal & compliance requests,legal & compliance requests,nan,high,4,german,german
anfrage nach aktualisierter dokumentation der vagrant-umgebung,"sehr geehrtes support-team, ich suche nach der neuesten dokumentation für die vagrant-konfiguration, die bei der integration der ci/cd-pipeline von zenithflow verwendet wird. könnten sie bitte klarheit über die dabei involvierten abhängigkeiten verschaffen? vielen dank für ihre unterstützung.",software development,software development,nan,low,2,german,german
problem mit hellosign,"sehr geehrtes support-team, ich kontaktiere sie wegen eines problems mit der hellosign-sso-konfiguration während der onboarding-phase der medisecure health-kunden. das problem tritt sporadisch auf und führt zu einrichtungsausfällen. es wurde in den letzten tagen festgestellt, wobei das erste auftreten am freitag war. als vorübergehende maßnahme können kunden dokumente manuell unterschreiben, obwohl dies nicht die bevorzugte lösung ist. der fehler scheint zufällig aufzutreten, ohne ein erkennbares muster in bezug auf das verhalten der nutzer. zu den fehlerbehebungsmaßnahmen gehörte die überprüfung der fehler im hellosign-dashboard.",customer onboarding,customer onboarding,nan,medium,3,german,german
sicherheitsvorfall mit datenbankkompromittierung,"liebes support-team,\n\nich melde einen kritischen sicherheitsvorfall, der unsere postgresql 13-datenbank betrifft. die flugplanungsdatenbank wurde kompromittiert, wodurch sensible luftfahrtdaten gefährdet sind. ein dringendes patch ist erforderlich, um die datenintegrität zu schützen. bitte leisten sie innerhalb von 4 stunden unterstützung, um einen datenverlust zu verhindern.\n\nihre schnelle reaktion auf dieses problem wird sehr geschätzt.\n\nvielen dank,\n<name>",security operations,security operations,nan,high,4,german,german
fehler bei der terraform-bereitstellung,"liebes support-team, wir haben einen schwerwiegenden fehler bei der bereitstellung unserer terraform-infrastruktur. dieses problem hat dazu geführt, dass die checkout-services bei shoplink commerce nicht mehr funktionieren, weshalb es unbedingt erforderlich ist, die pipeline sofort wiederherzustellen. der ausfall begann nach der letzten bereitstellung. wir benötigen dringend hilfe, um dieses problem zu beheben.",software development,software development,nan,high,4,german,german
ibm cloud sso-einrichtungsproblem,"liebes support-team, ich habe gelegentlich fehler bei der sso-konfiguration in ibm cloud, die die migration medizinischer daten beeinträchtigen. obwohl ein manueller login noch möglich ist, benötige ich unterstützung, um das problem zu beheben und das sso korrekt einzurichten. ich danke ihnen für ihre unterstützung. vielen dank, <name>",customer onboarding,customer onboarding,nan,medium,3,german,german
problem mit azure service,"liebes support-team, ich habe gelegentlich ausfälle in der etl-pipeline auf azure, die zu verzögerungen bei der täglichen analyseverarbeitung führen. das manuelle ausführen der pipeline behebt das problem vorübergehend. ich wäre ihnen dankbar für ihre hilfe bei der lösung dieses problems. vielen dank, <name>",data analytics & reporting,data analytics & reporting,nan,medium,3,german,german
problem mit der integration des node.js-sicherheitspatches,"liebes support-team, ich habe probleme bei der integration des node.js 14.17 sicherheitspatches in die novapm enterprise-workflow-plattform. obwohl der patch vollständig bereitgestellt wird, löst er kleinere fehler im dienst aus. diese probleme bestehen seit der veröffentlichung des patches, und wir verwenden eine zwischenlösung, um verzögerungen zu reduzieren. die fehler sind nicht kritisch, wie z.b. get, aber wir möchten sicherstellen, dass der patch vollständig angewendet wird, um die systemsicherheit zu gewährleisten. wir verwenden node.js version 14.17, die neueste version, auf novapm. können sie uns bitte bei der lösung dieses problems unterstützen?",security operations,security operations,nan,medium,3,german,german
anfrage zum verzögerten rollout des maus-sicherheitsupdates,"liebes support-team, ich wende mich an sie bezüglich des verschobenen rollouts des maus-sicherheitsupdates, der zu gelegentlichen ausfällen bei der überwachung von blockchain-bedrohungen geführt hat. biotrust technologies hat dieses problem gemeldet und darauf hingewiesen, dass es unsere fähigkeit beeinträchtigt hat, bedrohungen sofort zu erkennen. obwohl manuelle workarounds implementiert wurden, machen wir uns sorgen über die damit verbundenen risiken und möchten sie bitten, uns bei der lösung dieses problems zu unterstützen. könnten sie uns bitte einen geschätzten zeitplan für die bereitstellung des patches mitteilen und mögliche alternative maßnahmen zur minderung des problems vorschlagen?",security operations,security operations,nan,medium,3,german,german
heute erkannter modemfehler bei retailvision,"liebes support-team, ich möchte einen bericht über ein schwerwiegendes problem mit der retailvision einzelhandelsanalyseplattform einreichen. das modem funktioniert nicht richtig, was zum verlust der echtzeit-synchronisierung der heatmap-bestände geführt hat. diese störung beeinträchtigt die geschäftsabläufe erheblich und erfordert dringendes eingreifen. der ausfall hängt mit der netzwerkinfrastruktur zusammen, insbesondere mit dem modemgerät. versuche zur fehlerbehebung waren erfolglos. wir wären dankbar, wenn sie diese angelegenheit priorisieren und zur schnellen lösung eskalieren könnten.",network infrastructure,network infrastructure,nan,high,4,german,german
daten-synchronisationsverzögerungen aufgrund von azure api timeout-problemen,"liebes support-team, wir erleben sporadische timeouts mit der azure api, die die synchronisation der verkehrsanalyse von urbangrid dynamics beeinträchtigen. obwohl derzeit eine vorübergehende lösung besteht, ist innerhalb unseres sla eine dringende endgültige lösung erforderlich, um weitere unterbrechungen zu vermeiden. dieses problem ist erst kürzlich aufgetreten und verursacht verzögerungen bei einigen nicht-kritischen abläufen. wir danken ihnen für ihre schnelle unterstützung. mit freundlichen grüßen, <name>",partner & vendor coordination,partner & vendor coordination,nan,medium,3,german,german
sofortige aufmerksamkeit erforderlich: zahlungsproblem,"liebes support-team, ich wende mich an sie, um sie auf ein dringendes problem aufmerksam zu machen, das unsere devops-pipelines stoppt. unsere organisation, novapm, ist stark auf die travis ci enterprise-workflow-plattform angewiesen. aufgrund einer abgelehnten zahlung wurde der travis ci-dienst ausgesetzt. diese aussetzung verhindert deployments und stellt erhebliche betriebliche risiken dar. wir benötigen dringend hilfe, um das abrechnungsproblem zu beheben und unterbrechungen wichtiger workflows zu vermeiden. die zahlungsablehnung erfolgte während des letzten abrechnungszeitraums.",account & billing management,account & billing management,nan,high,4,german,german
dringendes problem mit alphafusion smart-tracker beeinträchtigt zahlungen,"sehr geehrtes support-team,\n\nich wende mich an sie, um ein kritisches problem mit dem alphafusion smart-tracker zu melden. mehrere kunden zahlungen wurden abgelehnt und es ist sofortiges handeln erforderlich, um den service wiederherzustellen. unser unternehmen, alphafusion finance, ist stark auf den smart-tracker für die abwicklung von transaktionen angewiesen. dieses problem trat heute früher auf und seitdem ist die zahlungsabwicklung unmöglich. trotz mehrerer fehlersuchversuche bleibt das problem bestehen. wir bitten sie daher höflich, diese angelegenheit aufgrund ihrer hohen wichtigkeit so schnell wie möglich zu bearbeiten. wir benötigen umgehend eine lösung.",account & billing management,account & billing management,nan,high,4,german,german
splunk etl-pipeline erlebt ausfälle,"sehr geehrtes support-team,<br>ich melde wiederkehrende, intermittierende ausfälle in der splunk etl-pipeline, die zu verzögerungen bei der aktualisierung der ecologix-nachhaltigkeitsdashboards führen. das problem scheint sporadisch aufzutreten; während einige datenladungen erfolgreich abgeschlossen werden, schlägt der prozess zu anderen zeiten fehl, was zu teilweisen dashboard-aktualisierungen führt.<br>unser team hat diese probleme in der vergangenen woche beobachtet, wobei der erste vorfall letzten montag um 10:00 uhr auftrat. seitdem haben wir ausfälle in unregelmäßigen abständen erlebt, der jüngste davon gerade erst.",data analytics & reporting,data analytics & reporting,nan,medium,3,german,german
intermittierende zugriffsprobleme verursacht durch avast free antivirus 2021,"liebes support-team, wir haben sporadische probleme, bei denen avast free antivirus 2021 den zugriff auf wichtige patienteninformationen innerhalb der electronic health records (ehr)-plattform von healthguard systems blockiert. dieses problem tritt unvorhersehbar auf. obwohl das deaktivieren von avast eine vorübergehende lösung bietet, wird dringend eine dauerhafte lösung benötigt. wir verwenden avast free antivirus 2021 auf einem windows 10-rechner mit allen neuesten updates. ihre schnelle unterstützung bei der bereitstellung eines patches zur behebung dieses problems wäre sehr willkommen.",security operations,security operations,nan,medium,3,german,german
unterstützungsanfrage,"liebes support-team, ich suche rat zur erstellung von dsgvo-konformer audit-dokumentation für die ki-kompetenzlückenanalyseberichte von skillwave unter verwendung von excel-vorlagen. dies ist eine standardanfrage mit operativen auswirkungen. ich wäre dankbar für unterstützung bei der anpassung der vorlagen, um sicherzustellen, dass sie den dsgvo-standards entsprechen. vielen dank für ihre zeit, und ich freue mich auf ihre antwort. mit freundlichen grüßen, <name>",legal & compliance requests,legal & compliance requests,nan,low,2,german,german
probleme mit adobe sign single sign-on,"liebes support-team, wir haben sporadische fehler während der einrichtung von adobe sign single sign-on beim onboarding von legallink. dieses problem verhindert derzeit die vertragsautomatisierung, und wir haben als übergangslösung einen manuellen upload implementiert. das problem tritt auf, wenn versucht wird, sso zu konfigurieren, wodurch der onboarding-prozess nicht abgeschlossen werden kann. wir wären ihnen für eine schnelle unterstützung bei der lösung dieses problems dankbar, um eine reibungslose vertragsautomatisierung zu gewährleisten. bitte informieren sie uns, falls sie weitere details benötigen.",customer onboarding,customer onboarding,nan,medium,3,german,german
verbesserte zapier api-funktionalität,"liebes support-team, hier spricht datavest advisors. wir sind daran interessiert, die integration alternativer daten über zapier-workflows zu verbessern. unser team möchte eine erweiterte kompatibilität mit der zapier api vorschlagen, um automatisierungsprozesse zu optimieren. dies ist eine funktionsbezogene empfehlung mit niedriger priorität. wir glauben, dass diese verbesserung die effizienz der arbeitsabläufe erheblich steigern würde. vielen dank für ihre berücksichtigung. mit freundlichen grüßen, <name>",partner & vendor coordination,partner & vendor coordination,nan,low,2,german,german
dringendes problem: fehler bei der synchronisierung von wetterdaten,"liebes support-team, ich melde ein kritisches problem mit der aeronav systems-integration in microsoft teams. wir haben eine fehlfunktion bei der synchronisierung der wetterdaten, was erhebliche negative auswirkungen auf die flugplanungsaktivitäten hat. dieses dringende problem wirkt sich direkt auf die flugsicherheit aus und trat heute früh auf. wir benötigen innerhalb der nächsten vier stunden eine lösung, um betriebsunterbrechungen zu vermeiden. anbei finden sie einen screenshot der fehlermeldung zu ihrer information. unser unternehmen ist stark von dieser integration abhängig, daher ist die ausfallzeit ein großes problem.",partner & vendor coordination,partner & vendor coordination,nan,high,4,german,german
grammarly-tool zur integration von dsgvo-konformen vorlagen,"sehr geehrtes support-team, hier ist nextwave marketing. wir möchten sie bezüglich der einbindung von dsgvo-konformen klauselvorlagen in grammarly kontaktieren. wir nutzen grammarly regelmäßig zur inhaltserstellung und sind der meinung, dass das hinzufügen dieser funktion die einhaltung gesetzlicher vorschriften und vertragsüberarbeitungen erheblich erleichtern würde. dsgvo-vorlagen könnten die vertragsgestaltung und die arbeitsabläufe bei der überprüfung von inhalten vereinfachen. wir sind uns bewusst, dass dies möglicherweise eine funktion mit niedriger priorität ist, halten sie jedoch für eine wertvolle erweiterung für unternehmen, die grammarly zur inhaltserstellung verwenden. wir wären ihnen für ihre berücksichtigung sehr dankbar.",legal & compliance requests,legal & compliance requests,nan,low,2,german,german
vorschlag zur verbesserung der prädiktiven analytik durch keras-integration,"sehr geehrtes support-team,<br>ich wende mich an sie mit einem vorschlag für eine integration, die meiner ansicht nach die funktionalität der prädiktiven analytik innerhalb der zenithflow-dashboards erheblich verbessern würde. ich schlage vor, keras-basierte machine-learning-modelle in die plattform einzubinden, um die genauigkeit der prädiktiven planungserkenntnisse zu erhöhen.<br>durch die nutzung von keras könnte zenithflow präzisere und verlässlichere prognosen liefern, die es den nutzern ermöglichen, fundierte entscheidungen zu treffen. diese integration erfordert zeitnahes handeln, da sie eine entscheidende rolle bei der förderung langfristiger verbesserungen spielt.",data analytics & reporting,data analytics & reporting,nan,low,2,german,german
dringende apache-benachrichtigung,"liebes support-team, ich melde eine schwerwiegende sicherheitslücke in der hadoop-integration von biotrust, die zur offenlegung sensibler medizinischer informationen führt. es ist dringend erforderlich, dieses problem zu beheben. mit freundlichen grüßen, <name>",partner & vendor coordination,partner & vendor coordination,nan,high,4,german,german
anfrage zur mailchimp-integration und prüfprotokollen in retailvision,"sehr geehrtes support-team,\n\nich kontaktiere sie bezüglich der mailchimp-integration mit retailvision. der bestehende synchronisierungsprozess enthält keine detaillierten prüfprotokolle, die jedoch für die dsgvo-konformität unerlässlich sind. folglich muss unser team änderungen manuell erfassen, was sowohl zeitaufwendig als auch fehleranfällig ist. dieses problem besteht seit dem letzten update und beeinträchtigt unseren arbeitsablauf. wir haben versucht, die konfigurationseinstellungen zu überprüfen, doch das problem besteht weiterhin.\n\nwir würden es sehr schätzen, wenn sie diese angelegenheit untersuchen und so schnell wie möglich eine lösung bereitstellen könnten. bitte geben sie uns eine rückmeldung.\n",legal & compliance requests,legal & compliance requests,nan,medium,3,german,german
intermittenter paketverlust bei vpn-verbindung,"sehr geehrtes support-team,<br>ich möchte ein gelegentliches problem mit paketverlusten über das vpn melden, das die analysen bei quantedge capital beeinträchtigt.<br>dieses problem tritt sporadisch durch die firewall auf, stört die echtzeitanalyse der daten und verursacht verzögerungen bei der auswahl einiger assets.<br>unser team ist stark auf präzise und zeitnahe daten angewiesen, um fundierte entscheidungen treffen zu können, daher behindert dieses problem unsere abläufe erheblich.<br>die betroffene systemumgebung ist windows.",network infrastructure,network infrastructure,nan,medium,3,german,german
hilfe bei unterbrechungen der urbangrid wlan-verbindung benötigt,"liebes support-team, ich wende mich an sie wegen gelegentlicher wlan-unterbrechungen, die das urbangrid smart lighting system betreffen. die installation verwendet ein netgear nighthawk mesh-netzwerk, doch die verbindung ist manchmal inkonsistent. diese unterbrechungen führen zu verzögerungen bei den adaptiven lichtsteuerungen und verursachen unannehmlichkeiten. obwohl eine vorübergehende lösung angewendet wurde, um das problem zu mildern, scheint eine dauerhafte behebung erforderlich zu sein. die störungen treten unvorhersehbar und ohne erkennbare ursache auf. wir nutzen die aktuellste softwareversion.",network infrastructure,network infrastructure,nan,medium,3,german,german
anfrage zur verzögerung bei der veröffentlichung des maus-sicherheitspatches,"liebes support-team, ich kontaktiere sie bezüglich der verschobenen bereitstellung des maus-sicherheitspatches, die gelegentliche ausfälle bei der überwachung von bedrohungen in der blockchain verursacht hat. biotrust technologies hat diese sorge geäußert und betont, wie sich dies auf die fähigkeiten zur echtzeit-bedrohungserkennung auswirkt. obwohl es manuelle umgehungen gibt, mache ich mir sorgen über die damit verbundenen risiken und möchte sie um unterstützung bei der lösung dieses problems bitten. könnten sie bitte einen geschätzten zeitplan für die patch-einführung mitteilen oder andere lösungen vorschlagen, um das problem zu minimieren?",security operations,security operations,nan,medium,3,german,german
dringend: kritischer fehler in der novapm jira-integration,"liebes support-team, wir haben einen schweren fehler bei der jira-integration, der unsere bereitstellungsprozesse blockiert. wir benötigen eine sofortige lösung, um den normalen betrieb wieder aufzunehmen.",software development,software development,nan,high,4,german,german
vpn-fehler führt zur offenlegung medizinischer informationen,"liebes support-team, ich melde ein kritisches problem mit der vpn-verbindung bei biotrust technologies. wir verwenden ein western digital book duo, um verschlüsselte medizinische aufzeichnungen zu speichern, aber aufgrund des vpn-problems sind diese aufzeichnungen jetzt der unbefugten einsicht ausgesetzt. dies ist eine dringende angelegenheit, die umgehende aufmerksamkeit erfordert, um potenzielle datenverstöße zu vermeiden. das problem stammt vom western digital book duo-gerät, das mit der aktuellsten softwareversion läuft. es wurden bereits versuche unternommen, das gerät neu zu starten.",network infrastructure,network infrastructure,nan,high,4,german,german
postgresql-dienstunterbrechung,"liebes support-team,\n\nich melde eine schwerwiegende postgresql-ausfallzeit, die die stakeholder-dashboards von zenithflow beeinträchtigt. diese ausfallzeit verletzt unsere sla-verfügbarkeitszusagen und erfordert eine dringende eskalation und lösung. gemäß unserem 4-stunden-sla-protokoll bitte ich um ihre sofortige aufmerksamkeit für dieses problem. der ausfall begann vor etwa 2 stunden, und unser team konnte ihn intern nicht beheben. ich habe einen screenshot der fehlermeldung zu ihrer information angehängt. nachfolgend finden sie die umgebungsdetails: os",partner & vendor coordination,partner & vendor coordination,nan,high,4,german,german
problem mit ungleichmäßiger farbdarstellung festgestellt,"liebes support-team, ich habe probleme mit einer inkonsistenten farbdarstellung in figma-prototypen, was die genauigkeit der designs beeinträchtigt. ich habe vorläufig manuelle anpassungen vorgenommen. bitte helfen sie mir. - <name>",user experience & design feedback,user experience & design feedback,nan,medium,3,german,german
kritischer alarm: etl-pipeline-ausfall stoppt tägliche verkaufsberichterstattung und analysen,"liebes support-team,\n\nich wende mich wegen eines schwerwiegenden problems mit der etl-pipeline, die für die verkaufsanalyseberichte verwendet wird, an sie. die pipeline, die mit sage accounting verbunden ist, funktioniert nicht ordnungsgemäß und unterbricht die erstellung der täglichen verkaufsberichte und bestandsübersichten. dieses problem hat hohe priorität, da es die betriebsabläufe erheblich beeinträchtigt und datenverluste verursacht. es wurden bereits versuche unternommen, das problem zu beheben, jedoch ohne erfolg. der ausfall trat auf der retailvision-plattform auf, die auf diesen etl-prozess angewiesen ist, um wichtige einzelhandelseinblicke zu liefern.",data analytics & reporting,data analytics & reporting,nan,high,4,german,german
herausforderungen bei der einrichtung des ai-such-onboarding-verfahrens,"liebes support-team, ich habe probleme bei der konfiguration des ai-such-onboarding-prozesses für einen neuen shoplink commerce-kunden. die integration mit magento verursacht gelegentliche fehler. obwohl eine vorübergehende lösung gefunden wurde, wird innerhalb der nächsten 24 stunden eine langfristige lösung benötigt. wir verwenden die neueste softwareversion und haben verschiedene fehlerbehebungsmethoden ausprobiert, aber das problem bleibt bestehen. ihre schnelle unterstützung bei der lösung dieses problems wäre sehr hilfreich. bitte informieren sie mich, falls weitere informationen benötigt werden.",customer onboarding,customer onboarding,nan,medium,3,german,german
nicht genehmigte abrechnungsaktivitäten,"liebes support-team, ich wende mich dringend an sie, um ein problem mit meinem shoplink-konto zu melden. ich habe mehrere unautorisierte verlängerungen von abonnements festgestellt, die berechnet wurden. ich bitte um eine schnelle rückerstattung und eine umfassende untersuchung des kontos, um ähnliche vorfälle in zukunft zu vermeiden. diese unautorisierten transaktionen fanden in den letzten wochen statt, die letzte am 10. januar 2024. ich habe versucht, die abonnementdetails und kontoeinstellungen zu überprüfen, konnte jedoch keine aktiven abonnements finden.",account & billing management,account & billing management,nan,high,4,german,german
hilfe benötigt bei unregelmäßigkeit der quickbooks-rechnung,"liebes support-team, ich habe eine kleine unstimmigkeit bei der abrechnung im zusammenhang mit der quickbooks-abonnementrechnung aus dem letzten quartal festgestellt. die rechnung für datavest advisors weist einige unstimmigkeiten auf, die ich gerne geklärt hätte. könnten sie dieses problem bitte untersuchen und eine erklärung dazu geben? ich schätze ihre zeit und unterstützung. mit freundlichen grüßen, <name>",account & billing management,account & billing management,nan,low,2,german,german
zusätzlichen abrechnungskontakt hinzufügen,"liebes support-team, ich möchte um die ergänzung einer sekundären abrechnungs-e-mail-kontaktperson für das salesforce-crm-abonnement von elevate360 bitten. dies ist eine niedrig priorisierte aktualisierung im zusammenhang mit der kontoverwaltung. vielen dank, <name>",account & billing management,account & billing management,nan,low,2,german,german
fehler während des docker-build-prozesses aufgetreten,"liebes support-team,\n\nich melde ein kritisches problem, das die docker-pipeline betrifft und die logisticore-bereitstellungen stoppt. dieses problem trat heute früher auf und verhindert echtzeit-updates der lieferkette, was zu erheblichen betrieblichen unterbrechungen führt. die umgebung verwendet docker version 20.10.7 auf ubuntu 20.04 lts. jeder versuch, das docker-image zu erstellen, schlägt fehl und wird von einer unklaren fehlermeldung begleitet. ich habe versucht, das problem durch überprüfung der docker-protokolle zu diagnostizieren, aber keine klare lösung gefunden.",software development,software development,nan,high,4,german,german
kritisches problem mit dem ehr-system,"sehr geehrtes support-team, ich habe ein großes problem mit der integration zwischen microsoft dynamics 365 ehr und healthguard systems. fehler während der patientendatenmigration verhindern, dass krankenhäuser auf die aufzeichnungen zugreifen können. eine sofortige lösung ist innerhalb der 4-stunden-sla erforderlich. dringende unterstützung wird sehr geschätzt. - <name>",customer onboarding,customer onboarding,nan,high,4,german,german
anfrage zu fleetiq,"liebes support-team, ich bitte um eine erklärung, wie die anteiligen gebühren für die fleetiq-service-stufen innerhalb von quickbooks berechnet werden. könnten sie mir dabei bitte helfen?",account & billing management,account & billing management,nan,low,2,german,german
warnung: potenzielles sicherheitsproblem mit redis,"liebes support-team, ich wende mich an sie wegen eines vermuteten kompromittierungsfalls unserer redis 6.2-instanz, bei dem live-daten zur asset-benchmarking offengelegt wurden. sofortige hilfe ist erforderlich, um diese sicherheitsbedrohung zu beheben. - <name>",security operations,security operations,nan,high,4,german,german
dienstunterbrechung,"liebes support-team, ich melde eine schwerwiegende störung bei der heatmap-integration auf der drupal commerce-plattform, die die echtzeit-einzelhandelsanalysen beeinträchtigt. folglich sind unsere prozesse zur bestandsoptimierung und dynamischen preisgestaltung erheblich betroffen. wir arbeiten mit retailvision zusammen und sind stark auf diese integration angewiesen, um fundierte geschäftsentscheidungen zu treffen. das problem trat kürzlich auf und trotz unserer fehlerbehebungsmaßnahmen konnten wir es nicht beheben. ich habe einen screenshot der fehlermeldung beigefügt, auf die wir stoßen. die fehlermeldung lautet: 'heatmap-integration'.",user experience & design feedback,user experience & design feedback,nan,high,4,german,german
alarm: sicherheitsverletzung in symantec endpoint protection,"liebes support-team, ich melde eine kritische sicherheitslücke, die im system symantec endpoint protection 14.3 entdeckt wurde. die sicherheitsverletzung wurde in den predictive-maintenance-systemen bei greenstream energy festgestellt und muss dringend an den anbieter weitergeleitet werden, um datenverlust zu vermeiden. das problem trat um 10:00 uhr auf, und unser internes team konnte es nicht beheben. die betroffenen geräte laufen mit symantec endpoint protection 14.3 auf windows 10 und haben die neuesten updates installiert. ein screenshot des fehlers ist beigefügt.",partner & vendor coordination,partner & vendor coordination,nan,high,4,german,german
postgresql 13 bereitstellungsproblem: verzögerte sicherheitspatches beeinträchtigen healthguard systems,"sehr geehrtes support-team,<br>ich wende mich an sie, um ein problem im zusammenhang mit unserer postgresql 13-bereitstellung bei healthguard systems zu melden. wir erleben verzögerungen bei der bereitstellung von sicherheitspatches, was zu sporadischen lücken bei der ehr-synchronisierung führt. unser team hat bisher manuelle wiederherstellungsmethoden eingesetzt, um diese probleme zu bewältigen, sucht jedoch nach einer nachhaltigeren lösung.<br>dieses problem trat vor einigen tagen auf, wobei die synchronisationsunterbrechungen tagsüber unvorhersehbar auftreten. unsere abteilung hat versucht, die ursache zu diagnostizieren, konnte diese jedoch bisher nicht feststellen.",release management,release management,nan,medium,3,german,german
problem mit dem textkontrast im urbangrid dynamics smart-licht dashboard-bericht,"liebes support-team, ich habe ein problem mit dem urbangrid dynamics smart-licht dashboard-bericht. der kontrast zwischen dem text und dem hintergrund ist ziemlich gering, was es schwierig macht, die einstellungen für die adaptive verkehrsbeleuchtung zu lesen und zu bearbeiten. dieser niedrige kontrast erschwert die änderung der beleuchtungskonfigurationen, da die optionswerte schwer klar zu unterscheiden sind. ich verwende die aktuellste softwareversion in einem standardbrowser. trotz versuchen, meine bildschirmeinstellungen anzupassen, bleibt das problem bestehen. ich würde ihre hilfe bei der behebung dieses problems sehr schätzen.",user experience & design feedback,user experience & design feedback,nan,medium,3,german,german
dokumentationsanfrage,"hallo support-team, ich kontaktiere novapm bezüglich der einrichtung von docker. wir benötigen detailliertere anweisungen zur vpn-konfiguration für den einsatz in zweigstellen, um die integration der devops-workflows zu verbessern. derzeit hat das team schwierigkeiten bei der konfiguration der vpn-einstellungen innerhalb von docker-containern. könnten sie bitte aktualisierte dokumentationen oder anleitungen zu diesem thema bereitstellen? ihre unterstützung wäre sehr dankbar. mit freundlichen grüßen, <name>",network infrastructure,network infrastructure,nan,low,2,german,german
verbesserungsanfrage für die filter des datadog kraftstoffverbrauchs-dashboards,"liebes support-team,\n\nich möchte eine verbesserung für die filter des datadog kraftstoffverbrauchs-dashboards vorschlagen. der nutzer, fleetiq, ist daran interessiert, anpassbare datumsbereichsoptionen als filter hinzuzufügen, um detailliertere berichte zur flotteneffizienz zu ermöglichen. diese funktion würde eine präzisere analyse erlauben und die entscheidungsfindung unterstützen.\n\nobwohl es sich wahrscheinlich um eine anfrage mit niedriger priorität handelt, würde sie die datenanalyse- und berichtsfunktionen erheblich verbessern.\n\nvielen dank für die berücksichtigung dieser anfrage.\n\nbeste grüße,\n<name>",data analytics & reporting,data analytics & reporting,nan,low,2,german,german
firmware-update für intelligenten rauchmelder erforderlich,"liebes support-team, ich kontaktiere sie bezüglich einer kritischen sicherheitslücke, die im safehome security intelligenten rauchmelder festgestellt wurde. wir wurden informiert, innerhalb von 24 stunden einen firmware-patch zu installieren oder das gerät vorübergehend zu trennen. das gerät ist mit dem heimnetzwerk verbunden. könnten sie bitte die installationsanweisungen für den patch bereitstellen? ihre schnelle unterstützung bei der lösung dieses problems wird sehr geschätzt. vielen dank, <name>",security operations,security operations,nan,medium,3,german,german
problem mit der funktionalität der smart-home-kamera,"liebes support-team, ich habe sporadische probleme mit der ki-bewegungserkennung an meiner safehome security smart home kamera. während die live-streams ohne probleme verfügbar sind, funktioniert die bewegungserkennung nicht richtig. ich benötige eine lösung innerhalb der nächsten 24 stunden. mit freundlichen grüßen, <name>",security operations,security operations,nan,medium,3,german,german
probleme mit der google cloud vpn-konnektivität,"liebes support-team, wir haben sporadische vpn-verzögerungen zwischen unseren niederlassungen und google cloud, was zu einer langsamen ladezeit der kurse führt. obwohl es eine vorübergehende lösung gibt, beeinträchtigt dies die engagement-statistiken. wir wären dankbar für ihre unterstützung bei der lösung dieses problems.",network infrastructure,network infrastructure,nan,medium,3,german,german
anfrage zur mailchimp-integration mit retailvision,"liebes support-team,\n\nich wende mich an sie bezüglich der mailchimp-integration mit retailvision. derzeit umfasst der synchronisierungsprozess keine detaillierten audit-logs, die für die dsgvo-konformität unerlässlich sind. folglich muss unser team änderungen manuell dokumentieren, was zeitaufwendig und fehleranfällig ist. dieses problem ist seit dem letzten update bemerkbar und beeinträchtigt unseren arbeitsablauf.\n\nich habe die einstellungen und konfigurationen überprüft, jedoch besteht das problem weiterhin. ich wäre ihnen dankbar, wenn sie diese angelegenheit untersuchen und so bald wie möglich eine lösung bereitstellen könnten. bitte lassen sie mich wissen.\n",legal & compliance requests,legal & compliance requests,nan,medium,3,german,german
etl-pipeline-latenzprobleme,"sehr geehrtes support-team, ich habe sporadische verzögerungen in den etl-pipelines auf ibm cloud festgestellt, die zu unvollständiger datenaufnahme und anschließend zu verzögerungen bei der aktualisierung unserer benchmarking-dashboards führen. als kurzfristige lösung werden manuelle daten-uploads verwendet. ihre unterstützung bei der behebung dieses problems wäre sehr willkommen.",data analytics & reporting,data analytics & reporting,nan,medium,3,german,german
verzögerung bei den echtzeit-verkaufsdaten in shopify,"liebes support-team, ich habe verzögerungen bei den echtzeit-verkaufsdaten, die im shopify-dashboard angezeigt werden, was die erstellung der täglichen berichte beeinträchtigt. obwohl ich vorübergehend auf historische daten zugreifen kann, benötige ich zeitnahe datenaktualisierungen, um fundierte entscheidungen treffen zu können. dieses problem ist kürzlich aufgetreten. ich habe bereits versucht, den cache zu leeren und überprüft, ob alle software auf dem neuesten stand ist. ihre hilfe bei der lösung dieses problems wäre sehr willkommen. vielen dank für ihre zeit und unterstützung. mit freundlichen grüßen, <name>",data analytics & reporting,data analytics & reporting,nan,medium,3,german,german
